Year	OJP_CWA_std	OJP_CWA_raw	OJP_RWA_std	OJP_RWA_raw
1970	0.9508661	298.4027675	0.84047	5936.828153
1971	0.9951208	320.2977915	0.91074	7218.772647
1972	1.0145816	351.8260269	0.9383524	9183.764493
1973	0.9969893	332.980543	0.9229829	8392.856999
1974	0.9718661	335.6351159	1.0393423	10986.57796
1975	1.0219229	362.2874658	1.3027529	14069.51222
1976	1.1275518	398.9893071	1.5931831	17067.31448
1977	1.0240802	355.6608778	0.9823738	9976.690285
1978	0.9716486	335.4390728	0.8041353	7870.578335
1979	0.9278884	319.3197112	0.7067992	6516.096759
1980	0.9361431	317.332675	0.728467	6420.640168
1981	1.0054386	340.8282012	0.9420905	7980.071811
1982	0.9772336	331.2164406	0.8343332	7105.740382
1983	0.9820683	335.0011225	0.9285347	8575.767783
1984	1.0767475	365.7115354	1.4616313	12242.34334
1985	1.0164137	348.2830521	0.8537203	6901.781634
1986	0.996731	341.8009497	0.9081443	7292.707001
1987	0.9681662	337.9585026	0.8375397	7475.532548
1988	0.9732167	341.6255266	0.9101211	8130.277597
1989	1.0190275	363.0029503	1.1423475	10798.55912
1990	1.0279551	376.1409669	1.1845861	11670.49673
1991	1.018049	359.3782702	1.0890438	10000.02821
1992	0.9974701	355.3551557	1.0202165	9954.47621
1993	1.0280572	365.7181798	0.9962544	9306.42788
1994	1.0062947	357.0043333	1.0478152	9625.00297
1995	0.9196407	327.6283473	0.654955	6567.49126
1996	0.9804864	347.2749021	0.8351141	7321.008448
1997	1.0361298	366.2569457	0.9961609	9306.506729
1998	0.9984018	354.5930024	1.0451713	9496.290071
1999	1.0310146	373.7976565	1.1596803	11030.60103
2000	1.0182566	346.2606577	1.2057315	10430.01311
2001	1.0863889	373.0192205	1.4514669	13602.54089
2002	0.9224727	313.5308854	0.6840634	5857.538654
2003	0.9439988	321.6468337	0.7253802	6132.750184
2004	0.9465828	322.6698157	0.7767911	6612.25294
2005	1.015599	344.9777631	0.9716642	8634.062533
2006	1.043294	354.5089364	1.2628631	11650.34158
2007	1.0201847	343.965846	1.0207738	9147.318999
2008	1.0192714	342.001069	1.0200704	9618.288393
2009	1.0027911	348.1152124	0.9326469	9042.262748
2010	1.0036606	347.1277507	0.9408032	8883.114913
2011	1.004053	348.085035	0.9143782	8271.277925
2012	0.9938945	353.7723082	1.0646607	10844.35428
2013	1.0088564	350.940677	1.0017386	9389.270603
2014	0.9995362	345.4347296	0.9621404	9885.132221
2015	0.9973957	341.6536083	1.0444805	9075.612407
2016	1.036399	358.3925963	1.116439	9877.930825
2017	1.0204138	359.9671169	1.0023622	9736.612129
2018	0.8880953	308.3044702	0.6046033	7263.293195
