YEAR	EW_LW	CWTALL90.Chrono	CWTALL50.Chrono	CWAadj90.Chrono	CWAadj50.Chrono	RWDadj90.Chrono	RWDadj50.Chrono	CTA90.Chrono	CTA50.Chrono	NUM.Chrono	NUM.TOT.Chrono
1908	EW	5.814	4.64	346.389	261.29	0.861793279	0.796884744	436.34	332.65	117	685
1908	LW	6.253	4.985	326.258	238.59	0.930116843	0.866868719	388.52	279.75	568	685
1909	EW	3.823	2.97	328.308	228.36	0.627556623	0.48767931	677.6745225	476.4149151	1748	2500
1909	LW	5.929	4.595	343.755	238.1227043	0.919535503	0.81665266	494.573	307.67	752	2500
1910	EW	3.85	3.07	330.895	230.87	0.61876803	0.4992625	683.5818466	474.9949898	908	1623
1910	LW	5.616	4.33	324.31	211.08	0.929979721	0.819138376	454.35	274.18	715	1623
1911	EW	4.127	2.83	329.716	221.96	0.611766872	0.468565991	711.362	494.0770564	940	1420
1911	LW	6.051	4.66	312.544	212.72	0.944597916	0.868156629	433.848	251.76	480	1420
1912	EW	3.594	2.83	295.891	202.31095	0.624973022	0.510973867	593.812	414.455	1037	1504
1912	LW	5.734	4.33	318.192	217.545	0.923809669	0.794754372	450.98033	283.72	467	1504
1913	EW	3.81	2.91	324.78	223.6934226	0.620641113	0.488210491	677.592	477.7809964	1026	1661
1913	LW	6.408	4.97	361.01	244.73	0.943386223	0.835938325	473.92	311.1710726	635	1661
1914	EW	3.655	2.94	324.795	230.0699775	0.612577991	0.485516539	669.2618749	491.0254511	886	1632
1914	LW	6.365	4.835	342.83	234.945	0.939328311	0.857157889	444.3109732	294.575	746	1632
1915	EW	3.637	2.99	329.362	231.3994696	0.611269899	0.483659739	698.596	484.747037	844	1467
1915	LW	6.078	4.58	320.424	217.04	0.932619295	0.820091062	439.102	280.9	623	1467
1916	EW	3.278	2.64	294.4	204.0656357	0.571093813	0.445125466	691.45	479.25	867	1241
1916	LW	5.738	4.1	293.412	203.72	0.933781737	0.816432766	421.438	262.95	374	1241
1917	EW	3.55	2.85	327.196	229.48	0.605197533	0.459148365	725.408	510.49	893	1397
